Test-Name,G-DemBy-Dir,G-DemBy-Suff,G-Demands,G-Eval,G-Suffices,Graph-Nodes,T-DemBy,T-Demands,T-Eval,T-Suffices
lexicalScoping,(0.1089372992515564 : 0.00922819608441895 : Nil),(0.7502051949501037 : 0.15534914459465451 : Nil),(0.11431849598884583 : 0.011959493149470979 : Nil),(1.1336313992738725 : 0.09984530167076157 : Nil),(0.11302279829978942 : 0.01065996682855448 : Nil),(1.7 : 0.0 : Nil),(0.2196192979812622 : 0.04732382253724793 : Nil),(0.3220799952745438 : 0.02940908226025991 : Nil),(0.2673107922077179 : 0.032473162852655994 : Nil),(0.21793609857559204 : 0.02120271924869863 : Nil)
length,(0.09099640846252441 : 0.006462350462507285 : Nil),(0.7745777934789657 : 0.09311385449331543 : Nil),(0.06621850430965423 : 0.0072866350643664484 : Nil),(1.184524005651474 : 0.07506004311565045 : Nil),(0.07839329838752747 : 0.0078104488307980564 : Nil),(2.4 : 0.0 : Nil),(0.367254900932312 : 0.038096064151259504 : Nil),(0.25732740163803103 : 0.04370336522751067 : Nil),(0.532630205154419 : 0.06711504398862321 : Nil),(0.35069900155067446 : 0.02392216097106641 : Nil)
lookup,(0.2105695992708206 : 0.00832233035294844 : Nil),(3.170117101073265 : 0.13270725835431227 : Nil),(0.12321509420871735 : 0.011251192247886958 : Nil),(6.011112096905708 : 0.4216110833822863 : Nil),(0.24397489428520203 : 0.022347428024685857 : Nil),(9.6 : 0.0 : Nil),(1.6884350031614304 : 0.14551160456011358 : Nil),(0.7930861055850983 : 0.04842821222789184 : Nil),(1.7241592973470687 : 0.1536898470786561 : Nil),(1.6026867002248764 : 0.1494188254919542 : Nil)
map,(0.1329332023859024 : 0.0070589177452338135 : Nil),(1.8648846000432968 : 0.15162008712803177 : Nil),(0.11684479415416718 : 0.007037430272906799 : Nil),(3.981482005119324 : 0.2171920731951666 : Nil),(0.10936619639396668 : 0.004546366772626509 : Nil),(6.9 : 0.0 : Nil),(1.2188838928937913 : 0.04993467163958177 : Nil),(0.7102938979864121 : 0.07636723723656919 : Nil),(1.4198253989219665 : 0.09017261876328365 : Nil),(1.299044105410576 : 0.10451899639266296 : Nil)
mergeSort,(0.21536600291728974 : 0.012613285214412382 : Nil),(3.8290019005537035 : 0.06683554057785861 : Nil),(0.1306829035282135 : 0.005407066979859729 : Nil),(12.343452498316765 : 0.16209838079072703 : Nil),(0.1643779009580612 : 0.007765592250771982 : Nil),(16.2 : 0.0 : Nil),(6.075886696577072 : 0.13995714661034622 : Nil),(1.4890732020139694 : 0.051735025576279146 : Nil),(6.226935696601868 : 0.13531470898320752 : Nil),(6.095840701460839 : 0.16965177972715498 : Nil)
normalise,(0.11702420115470887 : 0.009653177369899584 : Nil),(0.8326207965612411 : 0.09248843336173401 : Nil),(0.0750611037015915 : 0.006676142287232211 : Nil),(1.4111304968595504 : 0.12769773348150984 : Nil),(0.08339349925518036 : 0.003530507649604594 : Nil),(3.0 : 0.0 : Nil),(0.20446379780769347 : 0.0029807531261296176 : Nil),(0.2640870988368988 : 0.017066981553735667 : Nil),(0.2604755997657776 : 0.035163010714979515 : Nil),(0.2702962040901184 : 0.05110414216507437 : Nil)
nub,(0.18190580010414123 : 0.008123047927743538 : Nil),(3.238452199101448 : 0.0607255919905544 : Nil),(0.15806460082530976 : 0.024612537421621287 : Nil),(8.996163293719292 : 0.18652852531364955 : Nil),(0.13344330489635467 : 0.0043326188329673295 : Nil),(12.8 : 0.0 : Nil),(3.7839921057224273 : 0.0856517393511739 : Nil),(1.4397155046463013 : 0.04270805517594972 : Nil),(3.929545706510544 : 0.09234186992657563 : Nil),(3.892076399922371 : 0.13261646250234335 : Nil)
pattern-match,(0.1964257001876831 : 0.00778403837768542 : Nil),(3.597278395295143 : 0.07080378503989328 : Nil),(0.11540590226650238 : 0.007420367043782144 : Nil),(6.345973801612854 : 0.16924879318177696 : Nil),(0.23270859718322753 : 0.012426156583267902 : Nil),(10.5 : 0.0 : Nil),(1.4633273988962174 : 0.06466570036780839 : Nil),(0.6144778966903687 : 0.03048007406633099 : Nil),(1.6448352009057998 : 0.06949096927218715 : Nil),(1.4825975954532624 : 0.07665114131290567 : Nil)
range,(0.29470929205417634 : 0.019881720922572097 : Nil),(6.210984399914741 : 0.27240193407160684 : Nil),(0.16963159441947936 : 0.008871188737606592 : Nil),(14.749919193983079 : 0.4532123106884216 : Nil),(0.2521340936422348 : 0.030876520694322986 : Nil),(21.0 : 0.0 : Nil),(5.006906196475029 : 0.15258161102380938 : Nil),(2.583551698923111 : 0.12613407816206296 : Nil),(5.4061348050832745 : 0.10894085449041417 : Nil),(5.094142106175423 : 0.06174205959417421 : Nil)
records,(0.35049389600753783 : 0.0534818494378507 : Nil),(5.808967897295952 : 0.11148301475941333 : Nil),(0.152662992477417 : 0.006665221236127376 : Nil),(8.88741369843483 : 0.2267563502105141 : Nil),(0.2620345026254654 : 0.05626736367009943 : Nil),(15.3 : 0.0 : Nil),(1.3507920026779174 : 0.062005272708002164 : Nil),(1.1293025940656662 : 0.11027440368100147 : Nil),(1.5372833997011184 : 0.07425187980394315 : Nil),(1.3007008016109467 : 0.04109839044482756 : Nil)
record-lookup,(0.13395200073719024 : 0.008165276164801076 : Nil),(1.2662629991769792 : 0.06599332623916204 : Nil),(0.08464429974555969 : 0.0046537417371536735 : Nil),(1.675126203894615 : 0.08560678308163652 : Nil),(0.1087666004896164 : 0.00352852733822325 : Nil),(3.5 : 0.0 : Nil),(0.47361469864845274 : 0.014312769857261421 : Nil),(0.3294751048088074 : 0.014250129615695462 : Nil),(0.6890224933624267 : 0.06475683990596919 : Nil),(0.4972316026687622 : 0.019406032027106137 : Nil)
reverse,(0.12562609910964967 : 0.007547712389559334 : Nil),(0.888512909412384 : 0.05969958876410274 : Nil),(0.1173119992017746 : 0.04194900944146461 : Nil),(1.8126231998205184 : 0.052775637048124255 : Nil),(0.10756370723247528 : 0.00521024418446443 : Nil),(3.3 : 0.0 : Nil),(0.7119713008403779 : 0.04206590807160196 : Nil),(0.3320323020219803 : 0.013493549922669771 : Nil),(0.7242448031902313 : 0.019394806354683672 : Nil),(0.6986585021018982 : 0.04208448999088288 : Nil)
slicing/add,(0.2933881998062134 : 0.03936095835495444 : Nil),(0.14413060247898102 : 0.010428879627246729 : Nil),(0.2674153000116348 : 0.021096262312604662 : Nil),(0.4037815034389496 : 0.02126131079203611 : Nil),(0.3009741991758347 : 0.03746180244418416 : Nil),(1.1 : 0.0 : Nil),(0.046776899695396425 : 0.0038423435889963845 : Nil),(0.060322698950767514 : 0.0034735079440848158 : Nil),(0.0554874986410141 : 0.004491798552647118 : Nil),(0.0611405074596405 : 0.009017475604852509 : Nil)
slicing/array/lookup,(0.4037751019001007 : 0.025053472618258913 : Nil),(13.312274596095085 : 1.1168109402647666 : Nil),(0.41674650013446807 : 0.04736736358543235 : Nil),(26.98608630001545 : 1.8642027685745015 : Nil),(0.3093815952539444 : 0.025936968000499903 : Nil),(42.2 : 0.0 : Nil),(9.182831701636314 : 0.7458983079822615 : Nil),(4.871515402197838 : 0.5746092761306758 : Nil),(7.543357902765274 : 0.3968751810814297 : Nil),(10.111336597800255 : 1.0810584139325266 : Nil)
slicing/array/dims,(0.5234047025442123 : 0.06134721694115081 : Nil),(0.22573379576206207 : 0.02207106221990931 : Nil),(0.33917759656906127 : 0.030807591274490953 : Nil),(1.1002219945192337 : 0.1399637607443674 : Nil),(0.359797203540802 : 0.034210918627285355 : Nil),(2.6 : 0.0 : Nil),(0.18416300415992737 : 0.014604105810561721 : Nil),(0.26302369832992556 : 0.032681568698559364 : Nil),(0.2023073047399521 : 0.019429813987644214 : Nil),(0.1763957917690277 : 0.016836998506721348 : Nil)
slicing/convolution/edgeDetect,(351.87935099899767 : 10.465780924631193 : Nil),(915.6591077983379 : 44.096437569988495 : Nil),(19.57076229453087 : 2.4266826160605723 : Nil),(2500.6609495997427 : 159.92717173909566 : Nil),(12.961892798542976 : 1.6246993205756548 : Nil),(2704.9 : 0.0 : Nil),(770.5777315944433 : 26.502375915829237 : Nil),(355.5696537941694 : 21.28393180363747 : Nil),(897.1133964031935 : 47.305633297474174 : Nil),(807.6696822971105 : 27.632947741848728 : Nil)
slicing/convolution/emboss,(294.36011039614675 : 6.038260034733434 : Nil),(610.4628684043885 : 28.11471929377119 : Nil),(13.848909696936607 : 1.8629063836385011 : Nil),(1918.1855213016272 : 73.87850486186102 : Nil),(4.3273837000131605 : 0.39768277192561685 : Nil),(2146.8 : 0.0 : Nil),(702.7291160106658 : 41.42988836875238 : Nil),(289.6437620997429 : 14.828494813062964 : Nil),(763.3296046048403 : 32.53026619350511 : Nil),(728.1341691970825 : 30.772525898143744 : Nil)
slicing/convolution/gaussian,(334.4192010968924 : 13.914202570474195 : Nil),(648.8426041066647 : 20.61486533722395 : Nil),(12.814156904816628 : 0.3049986860591615 : Nil),(2039.2536058992148 : 104.06029570776182 : Nil),(4.745968607068062 : 0.36818983213172835 : Nil),(2146.8 : 0.0 : Nil),(666.5173537909984 : 20.92856535377688 : Nil),(296.5619219958782 : 15.950833610004024 : Nil),(852.2790598034859 : 79.18738390834771 : Nil),(732.0515238016844 : 31.74303314206666 : Nil)
slicing/dict/create,(0.24316569566726684 : 0.06853970092203653 : Nil),(0.21426140367984772 : 0.004543483758561741 : Nil),(0.18176519870758057 : 0.007044297269403361 : Nil),(0.40878520011901853 : 0.012032492617594688 : Nil),(0.15729599595069885 : 0.005388293638330372 : Nil),(1.5 : 0.0 : Nil),(0.06410890519618988 : 0.008646658833218392 : Nil),(0.08696219921112061 : 0.003320282990012685 : Nil),(0.06333699524402618 : 0.0036827728627438247 : Nil),(0.05050840079784393 : 0.0013826652530157142 : Nil)
